WL(nm);Abs;T%
201.0;3.6535;0.02
202.0;3.7053;0.02
203.0;3.7556;0.02
204.0;3.793;0.02
205.0;3.8357;0.01
206.0;3.8824;0.01
207.0;3.6261;0.02
208.0;3.6745;0.02
209.0;3.7171;0.02
210.0;3.7699;0.02
211.0;3.8261;0.01
212.0;3.8737;0.01
213.0;3.9301;0.01
214.0;3.9797;0.01
215.0;4.0357;0.01
216.0;4.0846;0.01
217.0;4.1378;0.01
218.0;4.1849;0.01
219.0;4.2314;0.01
220.0;4.274;0.01
221.0;4.309;0.0
222.0;4.0261;0.01
223.0;4.0625;0.01
224.0;4.0937;0.01
225.0;4.1264;0.01
226.0;4.1542;0.01
227.0;4.1829;0.01
228.0;4.207;0.01
229.0;4.2306;0.01
230.0;4.2532;0.01
231.0;4.2732;0.01
232.0;4.2934;0.01
233.0;4.3114;0.0
234.0;4.3269;0.0
235.0;4.3411;0.0
236.0;4.353;0.0
237.0;4.362;0.0
238.0;4.3708;0.0
239.0;4.3768;0.0
240.0;4.3822;0.0
241.0;4.386;0.0
242.0;4.3883;0.0
243.0;4.3897;0.0
244.0;4.3913;0.0
245.0;4.3916;0.0
246.0;4.3908;0.0
247.0;4.3894;0.0
248.0;4.3885;0.0
249.0;4.3858;0.0
250.0;4.3831;0.0
251.0;4.3799;0.0
252.0;4.3756;0.0
253.0;4.3718;0.0
254.0;4.3671;0.0
255.0;4.3623;0.0
256.0;4.3568;0.0
257.0;4.3518;0.0
258.0;4.3453;0.0
259.0;4.3385;0.0
260.0;4.3324;0.0
261.0;4.3267;0.0
262.0;4.6461;0.0
263.0;4.6393;0.0
264.0;4.6311;0.0
265.0;4.6229;0.0
266.0;4.6147;0.0
267.0;4.6067;0.0
268.0;4.5983;0.0
269.0;4.5909;0.0
270.0;4.5843;0.0
271.0;4.5773;0.0
272.0;4.5709;0.0
273.0;4.5657;0.0
274.0;4.5617;0.0
275.0;4.5575;0.0
276.0;4.5548;0.0
277.0;4.5521;0.0
278.0;4.5505;0.0
279.0;4.5489;0.0
280.0;4.5472;0.0
281.0;4.5462;0.0
282.0;4.5453;0.0
283.0;4.5449;0.0
284.0;4.544;0.0
285.0;4.5439;0.0
286.0;4.5428;0.0
287.0;4.543;0.0
288.0;4.5431;0.0
289.0;4.5441;0.0
290.0;4.5455;0.0
291.0;3.7873;0.02
292.0;3.4605;0.03
293.0;3.0845;0.08
294.0;2.9037;0.12
295.0;2.7251;0.19
296.0;2.6675;0.22
297.0;2.5386;0.29
298.0;2.499;0.32
299.0;2.4255;0.38
300.0;2.3491;0.45
301.0;2.2912;0.51
302.0;2.2011;0.63
303.0;2.1627;0.69
304.0;2.1198;0.76
305.0;2.068;0.86
306.0;2.0216;0.95
307.0;1.973;1.06
308.0;1.9215;1.2
309.0;1.883;1.31
310.0;1.8322;1.47
311.0;1.7886;1.63
312.0;1.7644;1.72
313.0;1.7184;1.91
314.0;1.6783;2.1
315.0;1.6415;2.28
316.0;1.5935;2.55
317.0;1.5503;2.82
318.0;1.5016;3.15
319.0;1.4638;3.44
320.0;1.4246;3.76
321.0;1.3805;4.16
322.0;1.3453;4.52
323.0;1.3085;4.91
324.0;1.2805;5.24
325.0;1.25;5.62
326.0;1.2105;6.16
327.0;1.1731;6.71
328.0;1.1382;7.28
329.0;1.1051;7.85
330.0;1.0715;8.48
331.0;1.0403;9.11
332.0;1.0142;9.68
333.0;0.9804;10.46
334.0;0.951;11.2
335.0;0.9227;11.95
336.0;0.8941;12.76
