Sample Name, Sample-2
Time, April 01 12:01:44 2022
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 200.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
200.0, 3.4844, 0.03
201.0, 3.5271, 0.03
202.0, 3.5877, 0.03
203.0, 3.6224, 0.02
204.0, 3.6670, 0.02
205.0, 3.7093, 0.02
206.0, 3.4574, 0.03
207.0, 3.5108, 0.03
208.0, 3.5638, 0.03
209.0, 3.6221, 0.02
210.0, 3.6807, 0.02
211.0, 3.7359, 0.02
212.0, 3.7951, 0.02
213.0, 3.8560, 0.01
214.0, 3.9151, 0.01
215.0, 3.9761, 0.01
216.0, 4.0325, 0.01
217.0, 4.0897, 0.01
218.0, 4.1479, 0.01
219.0, 4.1993, 0.01
220.0, 4.2422, 0.01
221.0, 3.9712, 0.01
222.0, 4.0165, 0.01
223.0, 4.0574, 0.01
224.0, 4.0976, 0.01
225.0, 4.1339, 0.01
226.0, 4.1687, 0.01
227.0, 4.2000, 0.01
228.0, 4.2298, 0.01
229.0, 4.2567, 0.01
230.0, 4.2822, 0.01
231.0, 4.3053, 0.00
232.0, 4.3258, 0.00
233.0, 4.3455, 0.00
234.0, 4.3629, 0.00
235.0, 4.3760, 0.00
236.0, 4.3878, 0.00
237.0, 4.3975, 0.00
238.0, 4.4046, 0.00
239.0, 4.4105, 0.00
240.0, 4.4144, 0.00
241.0, 4.4172, 0.00
242.0, 4.4191, 0.00
243.0, 4.4198, 0.00
244.0, 3.5305, 0.03
245.0, 4.4186, 0.00
246.0, 4.4171, 0.00
247.0, 4.4149, 0.00
248.0, 4.4122, 0.00
249.0, 4.4094, 0.00
250.0, 4.4058, 0.00
251.0, 4.4023, 0.00
252.0, 4.3977, 0.00
253.0, 4.3921, 0.00
254.0, 4.3874, 0.00
255.0, 4.3819, 0.00
256.0, 4.3760, 0.00
257.0, 4.3703, 0.00
258.0, 4.3649, 0.00
259.0, 4.3580, 0.00
260.0, 4.3513, 0.00
261.0, 4.1002, 0.01
262.0, 4.3358, 0.00
263.0, 4.3286, 0.00
264.0, 4.3218, 0.00
265.0, 4.6406, 0.00
266.0, 4.6318, 0.00
267.0, 4.6235, 0.00
268.0, 4.6154, 0.00
269.0, 4.6080, 0.00
270.0, 4.6008, 0.00
271.0, 4.5946, 0.00
272.0, 4.5884, 0.00
273.0, 4.5828, 0.00
274.0, 4.5786, 0.00
275.0, 4.5757, 0.00
276.0, 4.5729, 0.00
277.0, 4.5708, 0.00
278.0, 4.5685, 0.00
279.0, 4.5676, 0.00
280.0, 4.5663, 0.00
281.0, 4.5651, 0.00
282.0, 4.5642, 0.00
283.0, 4.5635, 0.00
284.0, 4.5630, 0.00
285.0, 4.5627, 0.00
286.0, 4.5627, 0.00
287.0, 4.5630, 0.00
288.0, 4.5634, 0.00
289.0, 4.5641, 0.00
290.0, 4.5657, 0.00
291.0, 4.5677, 0.00
292.0, 3.7643, 0.02
293.0, 3.5392, 0.03
294.0, 3.5212, 0.03
295.0, 3.2837, 0.05
296.0, 2.9462, 0.11
297.0, 2.9123, 0.12
298.0, 2.8113, 0.15
299.0, 2.7352, 0.18
300.0, 2.6493, 0.22
301.0, 2.6072, 0.25
302.0, 2.5515, 0.28
303.0, 2.4727, 0.34
304.0, 2.4262, 0.37
305.0, 2.3901, 0.41
306.0, 2.3729, 0.42
307.0, 2.3496, 0.45
308.0, 2.3238, 0.47
309.0, 2.2844, 0.52
310.0, 2.2744, 0.53
311.0, 2.2166, 0.61
312.0, 2.1659, 0.68
313.0, 2.1502, 0.71
314.0, 2.1389, 0.73
315.0, 2.1091, 0.78
316.0, 2.0969, 0.80
317.0, 2.0624, 0.87
318.0, 2.0155, 0.96
319.0, 1.9911, 1.02
320.0, 1.9732, 1.06
321.0, 1.9455, 1.13
322.0, 1.9214, 1.20
323.0, 1.9019, 1.25
324.0, 1.8657, 1.36
325.0, 1.8431, 1.44
326.0, 1.8224, 1.51
327.0, 1.8047, 1.57
328.0, 1.7823, 1.65
329.0, 1.7560, 1.75
330.0, 1.7349, 1.84
331.0, 1.7091, 1.95
332.0, 1.6903, 2.04
333.0, 1.6704, 2.14
334.0, 1.6513, 2.23
335.0, 1.6465, 2.26
336.0, 1.6371, 2.31
337.0, 1.6273, 2.36
